Time,Infected Homosexual Males,Infected Bisexual Males,Infected Heterosexual Females,Infected Heterosexual Males
0.232,4.996635734749323,4.998076665238506,99.952361236858,99.94996170334879
0.233,4.996638077328548,4.99807666725127,99.95236321365164,99.94996565128532
0.234,4.996640244277325,4.998076669028742,99.95236498307398,99.94996920451777
0.23500000000000001,4.996642248763115,4.998076670599417,99.95236656687977,99.9499724025071
0.23600000000000002,4.996644102966195,4.9980766719882554,99.95236798454147,99.94997528076915
0.23700000000000002,4.99664581815367,4.9980766732171285,99.95236925348861,99.9499778712691
0.23800000000000002,4.996647404747926,4.998076674305205,99.95237038932221,99.94998020277639
0.23900000000000002,4.996648872389964,4.998076675269293,99.95237140600659,99.94998230118424
0.24,4.9966502299979805,4.998076676124137,99.95237231604108,99.94998418979718
0.241,4.996651485821554,4.998076676882673,99.9523731306137,99.94998588958985
0.242,4.996652647491773,4.998076677556256,99.95237385973876,99.94998741943996
0.243,4.996653722067606,4.99807667815486,99.95237451237999,99.94998879633789
0.244,4.996654716078792,4.998076678687244,99.95237509656076,99.9499900355754
0.245,4.996655635565519,4.9980766791611115,99.95237561946273,99.94999115091542
0.246,4.996656486115126,4.9980766795832325,99.95237608751414,99.94999215474495
0.247,4.996657272896052,4.998076679959565,99.95237650646888,99.94999305821254
0.248,4.996658000689248,4.998076680295354,99.95237688147722,99.94999387135218
0.249,4.996658673917217,4.998076680595216,99.95237721714915,99.94999460319467
0.25,4.9966592966709,4.998076680863221,99.95237751761104,99.94999526186795
0.251,4.996659872734522,4.998076681102957,99.9523777865564,99.94999585468736
0.252,4.996660405608598,4.998076681317589,99.95237802729125,99.94999638823687
0.253,4.9966608985311955,4.99807668150991,99.95237824277483,99.9499968684422
0.254,4.996661354497616,4.998076681682387,99.95237843565592,99.94999730063662
0.255,4.99666177627859,4.998076681837201,99.95237860830545,99.94999768962022
0.256,4.9966621664371225,4.99807668197628,99.95237876284565,99.94999803971317
0.257,4.996662527344057,4.998076682101331,99.9523789011761,99.94999835480371
0.258,4.99666286119249,4.998076682213864,99.95237902499714,99.94999863839136
0.259,4.996663170011093,4.998076682315219,99.95237913583071,99.94999889362576
0.26,4.996663455676441,4.998076682406582,99.95237923503913,99.94999912334166
0.261,4.996663719924416,4.998076682489008,99.9523793238418,99.94999933009038
0.262,4.9966639643607555,4.998076682563432,99.95237940333021,99.94999951616818
0.263,4.996664190470808,4.9980766826306855,99.95237947448136,99.94999968364172
0.264,4.996664399628562,4.998076682691509,99.95237953816975,99.94999983437107
0.265,4.996664593104993,4.99807668274656,99.95237959517816,99.94999997003032
0.266,4.996664772075785,4.998076682796426,99.95237964620726,99.95000009212616
0.267,4.996664937628479,4.998076682841629,99.95237969188422,99.95000020201468
0.268,4.996665090769079,4.998076682882636,99.95237973277042,99.95000030091637
0.269,4.996665232428164,4.998076682919865,99.95237976936836,99.9500003899297
